DFO Area,Species Name,SMU Name,SMU Full Index,SMU Life History Type,CU Name,CU Common Name,CU Full Index,CU Life History Type,CU Type,DU Name,DU Number,DU Full Index,DU Acronym
FRASER AND INTERIOR,Chinook,,,,BOUNDARY BAY_FA_0.3,Boundary Bay_FA_0.3,CK-02,,Current,"Southern Mainland Boundary Bay, Ocean, Fall population",1,CK-DU-01,BB+GStr/Ocean/Fall
FRASER AND INTERIOR,Chinook,FRASER FALL RUN 41 CHINOOK SALMON,CK-FIA-02,,HATCHERY EXCLUSION-LOWER FRASER RIVER,,CK-9000,,Deprecated(Bin),,,,
FRASER AND INTERIOR,Chum,,,,INTERIOR FRASER,Interior Fraser,CM-9004,,Bin,,,,
FRASER AND INTERIOR,Chum,FRASER CHUM SALMON,CM-FIA-01,,LOWER FRASER,Lower Fraser,CM-02,,Current,,,,
FRASER AND INTERIOR,Chum,FRASER CHUM SALMON,CM-FIA-01,,FRASER CANYON,Fraser Canyon,CM-01,,VREQ[Current],,,,
FRASER AND INTERIOR,Coho,LOWER FRASER COHO SALMON,CO-FIA-02,,LILLOOET,Lillooet,CO-04,,Current,Lillooet,3,CO-DU-03,LILL
FRASER AND INTERIOR,Coho,INTERIOR FRASER COHO SALMON,CO-FIA-01,,INTERIOR FRASER,Interior Fraser,CO-48,,Current,Middle Fraser,5,CO-DU-05,MFR
FRASER AND INTERIOR,Coho,LOWER FRASER COHO SALMON,CO-FIA-02,,LOWER FRASER,Lower Fraser,CO-47,,Current,Lower Fraser1,2,CO-DU-02,LFR
FRASER AND INTERIOR,Coho,INTERIOR FRASER COHO SALMON,CO-FIA-01,,NORTH THOMPSON,North Thompson,CO-09,,Current,North Thompson,8,CO-DU-08,NTHOM
FRASER AND INTERIOR,Coho,INTERIOR FRASER COHO SALMON,CO-FIA-01,,SOUTH THOMPSON,South Thompson,CO-08,,Current,South Thompson,7,CO-DU-07,STHOM
FRASER AND INTERIOR,Coho,INTERIOR FRASER COHO SALMON,CO-FIA-01,,LOWER THOMPSON,Lower Thompson,CO-07,,Current,Lower Thompson,6,CO-DU-06,LTHOM
FRASER AND INTERIOR,Coho,INTERIOR FRASER COHO SALMON,CO-FIA-01,,FRASER CANYON,Fraser Canyon,CO-05,,Current,Fraser Canyon,4,CO-DU-04,FRCany
FRASER AND INTERIOR,Coho,,,,MIDDLE FRASER,,CO-06,,Deprecated,,,,
FRASER AND INTERIOR,Coho,,,,LOWER FRASER-A,,CO-02,,Deprecated,,,,
FRASER AND INTERIOR,Coho,,,,LOWER FRASER-B,,CO-03,,Deprecated,,,,
FRASER AND INTERIOR,Pink,FRASER PINK SALMON - ODD,PKO-FIA-01,Odd Year,FRASER RIVER,Fraser River,PKO-01,Odd Year,Current,,,,
FRASER AND INTERIOR,Pink,,,,FRASER RIVER,Fraser River,PKE-9005,Even Year,Bin,,,,
FRASER AND INTERIOR,Sockeye,FRASER SOCKEYE SALMON - EARLY SUMMER,SEL-FIA-02,Lake Type,CHILLIWACK-EARLY SUMMER TIMING,Chilliwack-Early Summer Timing,SEL-03-01,Lake Type,Current,Chilliwack-ES population,5,SEL-DU-5,
FRASER AND INTERIOR,Sockeye,,,,AHBAU,Ahbau,SEL-06-24,Lake Type,VREQ[Bin],,,,
FRASER AND INTERIOR,Sockeye,,,,EAGLET,Eaglet,SEL-06-25,Lake Type,VREQ[Bin],,,,
FRASER AND INTERIOR,Sockeye,,,,UPPER FRASER,Upper Fraser,SER-06,River Type,VREQ[Bin],,,,
